# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	1092
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
zhe bu dui ma 	这不对吗	c=1 d=0.873716 t=1092
zhe ge 	这个	c=22 d=9.48437 t=1092
zhe ge li zi 	这个例子	c=1 d=0.97531 t=1092
zhe ge ne 	这个呢	c=1 d=0.951229 t=1092
zhe ge yao 	这个要	c=1 d=0.97531 t=1092
zhe hui bu hui 	这会不会	c=1 d=0.927743 t=1092
zhe ji ge 	这几个	c=1 d=0.782705 t=1092
zhe ji ju 	这几句	c=1 d=0.927743 t=1092
zhe li 	这里	c=1 d=0.99005 t=1092
zhe liang 	这辆	c=0 d=0.0980199 t=1092
zhe liang duan 	这辆断	c=1 d=0.985112 t=1092
zhe liang ge 	这两个	c=0 d=0.0995012 t=1092
zhe liang ge ne 	这两个呢	c=1 d=1 t=1092
zhe shen me 	这什么	c=3 d=2.56686 t=1092
zhe shi 	这是	c=9 d=5.47402 t=1092
zhe shi ge 	这是个	c=1 d=0.97531 t=1092
zhe shi sha 	这是啥	c=1 d=0.927743 t=1092
zhe shi shen me 	这是什么	c=7 d=5.32305 t=1092
zhe shi shen me yi si 	这是什么意思	c=1 d=0.99005 t=1092
zhe shi wo 	这是我	c=1 d=0.927743 t=1092
zhe xie 	这些	c=1 d=0.810584 t=1092
zhe yang 	这样	c=6 d=3.68585 t=1092
zhe yang le 	这样了	c=1 d=0.97531 t=1092
zhe zai 	这在	c=1 d=0.918512 t=1092
zhen bie 	甄别	c=0 d=0.0891366 t=1092
zhen bie shuo 	甄别说	c=1 d=0.895834 t=1092
zheng li 	整理	c=1 d=0.955997 t=1092
zhi 	只	c=1 d=0.873716 t=1092
zhi chi 	支持	c=2 d=1.82971 t=1092
zhi dao 	知道	c=2 d=1.80155 t=1092
zhi ding 	指定	c=2 d=1.84153 t=1092
zhi jian de 	之间的	c=1 d=0.97531 t=1092
